Date_ID,Day,Month,Year,id,name,sex,age,height,weight,team,noc,games,season,city,sport,event,medal
DT00006,18,8,2016,57694,Deniss Karpak,M,30.0,200.0,100.0,Estonia,EST,2016 Summer,Summer,Rio de Janeiro,Sailing,Sailing Men's One Person Heavyweight Dinghy,
DT00004,14,8,2016,57735,Monika Karsch,F,33.0,158.0,55.0,Germany,GER,2016 Summer,Summer,Rio de Janeiro,Shooting,"Shooting Women's Air Pistol, 10 metres",
DT00004,14,8,2016,57735,Monika Karsch,F,33.0,158.0,55.0,Germany,GER,2016 Summer,Summer,Rio de Janeiro,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Silver
DT00008,20,8,2016,57764,Niluka Karunaratne,M,31.0,176.0,73.0,Sri Lanka,SRI,2016 Summer,Summer,Rio de Janeiro,Badminton,Badminton Men's Singles,
DT00003,13,8,2016,57777,"Alexander ""Alex"" Karwoski",M,25.0,193.0,91.0,United States,USA,2016 Summer,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,
DT00003,13,8,2016,57788,Devery Karz,F,28.0,173.0,59.0,United States,USA,2016 Summer,Summer,Rio de Janeiro,Rowing,Rowing Women's Lightweight Double Sculls,
DT00004,14,8,2016,57816,Darya Sergeyevna Kasatkina,F,19.0,170.0,62.0,Russia,RUS,2016 Summer,Summer,Rio de Janeiro,Tennis,Tennis Women's Singles,
DT00004,14,8,2016,57816,Darya Sergeyevna Kasatkina,F,19.0,170.0,62.0,Russia-1,RUS,2016 Summer,Summer,Rio de Janeiro,Tennis,Tennis Women's Doubles,
DT00002,12,8,2016,57827,Mohamad Kasem,M,22.0,172.0,73.0,Syria,SYR,2016 Summer,Summer,Rio de Janeiro,Judo,Judo Men's Lightweight,
DT00003,13,8,2016,57833,Yannick Kser,M,24.0,186.0,81.0,Switzerland,SUI,2016 Summer,Summer,Rio de Janeiro,Swimming,Swimming Men's 100 metres Breaststroke,
DT00003,13,8,2016,57833,Yannick Kser,M,24.0,186.0,81.0,Switzerland,SUI,2016 Summer,Summer,Rio de Janeiro,Swimming,Swimming Men's 200 metres Breaststroke,
DT00008,20,8,2016,57877,Orsolya Kas,F,27.0,187.0,72.0,Hungary,HUN,2016 Summer,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,
DT00007,19,8,2016,57878,Michelle Plourde Kasold,F,29.0,161.0,53.0,United States,USA,2016 Summer,Summer,Rio de Janeiro,Hockey,Hockey Women's Hockey,
DT00008,20,8,2016,57885,Jon Kapar,M,24.0,182.0,82.0,Czech Republic,CZE,2016 Summer,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",
DT00003,13,8,2016,57905,"Stephen ""Steve"" Kasprzyk",M,34.0,201.0,103.0,United States,USA,2016 Summer,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,
DT00003,13,8,2016,57911,Reem Mohamed Hussein El-Sayed Kassem,F,20.0,175.0,75.0,Egypt,EGY,2016 Summer,Summer,Rio de Janeiro,Swimming,Swimming Women's 10 kilometres Open Water,
DT00003,13,8,2016,57955,Shivani Kataria,F,18.0,163.0,60.0,India,IND,2016 Summer,Summer,Rio de Janeiro,Swimming,Swimming Women's 200 metres Freestyle,
DT00007,19,8,2016,57956,Vandana Katariya,F,24.0,159.0,48.0,India,IND,2016 Summer,Summer,Rio de Janeiro,Hockey,Hockey Women's Hockey,
DT00004,14,8,2016,57960,Shingo Katayama,M,43.0,168.0,73.0,Japan,JPN,2016 Summer,Summer,Rio de Janeiro,Golf,Golf Men's Individual,
DT00002,12,8,2016,57976,Bra Katipolu,F,24.0,165.0,63.0,Turkey,TUR,2016 Summer,Summer,Rio de Janeiro,Judo,Judo Women's Half-Middleweight,
DT00008,20,8,2016,58009,Yurie Kato,F,29.0,161.0,48.0,Japan,JPN,2016 Summer,Summer,Rio de Janeiro,Triathlon,Triathlon Women's Olympic Distance,
DT00005,16,8,2016,58010,David Katoatau,M,32.0,170.0,103.0,Kiribati,KIR,2016 Summer,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Heavyweight,
DT00003,13,8,2016,58019,Khristos Katrantzis,M,24.0,188.0,78.0,Greece,GRE,2016 Summer,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,
DT00002,12,8,2016,58047,Joshua Katz,M,18.0,167.0,60.0,Australia,AUS,2016 Summer,Summer,Rio de Janeiro,Judo,Judo Men's Extra-Lightweight,
